formatted_text
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Grey, Usage: Ethnic."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Beige, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Purple, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Pink, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Men Apparel item. Type: Shorts, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Red, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Khaki, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Sweatshirts, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Green, Usage: Casual."
"A Women Footwear item. Type: Sandals, Color: Pink, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Innerwear Vests, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Pendant, Color: Silver, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Personal Care item. Type: Nail Polish, Color: Bronze, Usage: nan."
"A Unisex Accessories item. Type: Laptop Bag, Color: Orange, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Women Apparel item. Type: Tops, Color: Off White, Usage: Casual."
"A Women Accessories item. Type: Scarves, Color: Brown, Usage: Casual."
"A Unisex Apparel item. Type: Rain Jacket, Color: Coffee Brown, Usage: nan."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Dresses, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Red, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Night suits, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Skirts, Color: Blue, Usage: Sports."
"A Girls Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Unisex Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Blue, Usage: Casual."
"A Unisex Footwear item. Type: Flip Flops, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Grey, Usage: Sports."
"A Men Footwear item. Type: Sports Shoes, Color: Blue, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Yellow, Usage: Casual."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Wallets, Color: Beige, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: White, Usage: Casual."
"A Women Apparel item. Type: Blazers, Color: Charcoal, Usage: Formal."
"A Women Apparel item. Type: Jeans, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Flip Flops, Color: Red, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Green, Usage: Ethnic."
"A Women Accessories item. Type: Ring, Color: Silver, Usage: Casual."
"A Boys Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Unisex Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Copper, Usage: Casual."
"A Unisex Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Sweatshirts, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Sports."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Gold, Usage: Casual."
"A Women Apparel item. Type: Kurta Sets, Color: Black, Usage: Ethnic."
"A Women Accessories item. Type: Clutches, Color: Red, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Beige, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Shrug, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Copper, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Accessories item. Type: Bracelet, Color: Steel, Usage: Casual."
"A Women Apparel item. Type: Bra, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Caps, Color: White, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Innerwear Vests, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Purple, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Green, Usage: Ethnic."
"A Men Footwear item. Type: Casual Shoes, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Casual Shoes, Color: Green, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Gold, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Black, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Sweatshirts, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Brown, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: White, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Accessories item. Type: Earrings, Color: Silver, Usage: Ethnic."
"A Unisex Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Tan, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Women Accessories item. Type: Belts, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Unisex Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Black, Usage: Casual."
"A Men Personal Care item. Type: Deodorant, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Personal Care item. Type: Lipstick, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Trousers, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Deodorant, Color: Pink, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Brown, Usage: Formal."
"A Women Apparel item. Type: Kurtas, Color: Red, Usage: Ethnic."
"A Unisex Accessories item. Type: Watches, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Tops, Color: Beige, Usage: Casual."
"A Women Apparel item. Type: Shorts, Color: Pink, Usage: Sports."
"A Women Apparel item. Type: Camisoles, Color: Maroon, Usage: Casual."
"A Men Apparel item. Type: Boxers, Color: Multi, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Kurtas, Color: Magenta, Usage: Ethnic."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Women Accessories item. Type: Jewellery Set, Color: Gold, Usage: Casual."
"A Women Apparel item. Type: Dupatta, Color: Orange, Usage: Ethnic."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Apparel item. Type: Track Pants, Color: Navy Blue, Usage: Sports."
"A Girls Apparel item. Type: Capris, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Lavender, Usage: Sports."
"A Women Apparel item. Type: Bra, Color: White, Usage: Casual."
"A Men Apparel item. Type: Shorts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Casual."
"A Women Personal Care item. Type: Lip Gloss, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Grey, Usage: Formal."
"A Women Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Sea Green, Usage: Ethnic."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Earrings, Color: Gold, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Purple, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Navy Blue, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Gold, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: White, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Men Personal Care item. Type: Deodorant, Color: Gold, Usage: Casual."
"A Women Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Pink, Usage: Sports."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Bath Robe, Color: Pink, Usage: Casual."
"A Unisex Accessories item. Type: Caps, Color: White, Usage: Casual."
"A Women Accessories item. Type: Mufflers, Color: Yellow, Usage: Casual."
"A Women Footwear item. Type: Flip Flops, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Beige, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Navy Blue, Usage: Ethnic."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Purple, Usage: Casual."
"A Women Apparel item. Type: Tunics, Color: White, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Green, Usage: Ethnic."
"A Women Footwear item. Type: Flats, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Jackets, Color: Cream, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Peach, Usage: Ethnic."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Gold, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Purple, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Copper, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Tan, Usage: Casual."
"A Women Apparel item. Type: Briefs, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Silver, Usage: Casual."
"A Women Accessories item. Type: Clutches, Color: Off White, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: White, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Grey, Usage: Casual."
"A Women Personal Care item. Type: Lipstick, Color: Red, Usage: Casual."
"A Men Personal Care item. Type: Perfume and Body Mist, Color: Green, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Unisex Accessories item. Type: Caps, Color: Blue, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Olive, Usage: Casual."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Yellow, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Purple, Usage: Sports."
"A Women Footwear item. Type: Flip Flops, Color: Orange, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Olive, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Trunk, Color: Charcoal, Usage: Casual."
"A Boys Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Lipstick, Color: Pink, Usage: nan."
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Sports."
"A Women Apparel item. Type: Bra, Color: Purple, Usage: Casual."
"A Women Apparel item. Type: Lounge Pants, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Face Wash and Cleanser, Color: Green, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Magenta, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Olive, Usage: Casual."
"A Men Apparel item. Type: Innerwear Vests, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Beige, Usage: Ethnic."
"A Women Apparel item. Type: Dresses, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Necklace and Chains, Color: Silver, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Red, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Cream, Usage: Ethnic."
"A Women Accessories item. Type: Handbags, Color: Orange, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: White, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Unisex Accessories item. Type: Duffel Bag, Color: Red, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Pink, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Unisex Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Footwear item. Type: Sports Sandals, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Pink, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Sports."
"A Men Personal Care item. Type: Deodorant, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Track Pants, Color: Navy Blue, Usage: Casual."
"A Women Accessories item. Type: Wallets, Color: Orange, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Personal Care item. Type: Foundation and Primer, Color: Skin, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Charcoal, Usage: Sports."
"A Men Accessories item. Type: Sunglasses, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Boys Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Tunics, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Sweaters, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Sports."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurta Sets, Color: Purple, Usage: Ethnic."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Purple, Usage: Casual."
"A Women Apparel item. Type: Trousers, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Clutches, Color: Red, Usage: Casual."
"A Men Free Items item. Type: Free Gifts, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Burgundy, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Women Accessories item. Type: Wallets, Color: Coffee Brown, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Grey Melange, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Boys Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Red, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Personal Care item. Type: Perfume and Body Mist, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Olive, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Night suits, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Track Pants, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Grey, Usage: Formal."
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Women Personal Care item. Type: Lipstick, Color: Brown, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Lounge Pants, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Men Footwear item. Type: Sports Shoes, Color: Grey, Usage: Sports."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Flip Flops, Color: Pink, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Skirts, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Pendant, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Sports."
"A Men Apparel item. Type: Innerwear Vests, Color: White, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Yellow, Usage: Ethnic."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Unisex Accessories item. Type: Trolley Bag, Color: Black, Usage: Casual."
